"Honestly, it was worth it","I was very hesitant about buying an iPhone off of Amazon, but I did it and was not disappointed. It came with 100% battery life, so it basically was brand new. It came with a charger and cube (plug), but that's it. Sorry to disappoint those who into that airpod life.No scratches and shipped fairly quickly. The only complaint I have for the iPhone XS, in general, is that I really liked the fingerprint scan, sometimes the face recognition doesn't work when you're looking down. But what it lacks in that feature, the iPhone delivers in the portrait camera mode, I seriously am in love with the blur feature.Sincerely,A very satisfied Amazon customer",2019年6月22日 在美国审核
"Beautiful, lovely, practically brand new iPhone XS!","I absolutely love my new iPhone XS! It arrived on time and practically brand new. The battery health is at 95% so it’s practically a brand new battery in here. It’s a very beautiful looking phone and is very responsive especially with the face recognition. That works very well even in low light settings, or if you have sunglasses and a hat on. I was surprised at how accurate that was. The battery lasts all day easily and I’ve hardly had any issues with apps crashing or anything like that.The phone itself was flawless and came with a protective film over it. There’s no scratches or signs of wear or anything to be found on the phone which I thought was great especially since it is an Amazon renewed item!I would definitely recommend this for anybody that is looking to upgrade their phone. The one I got is fully unlocked to GSM and CDMA networks so you can use it for any cell phone provider as long as you have a SIM card which it does not come with. It does come with a SIM tool as well as a generic charger and short cable which I just have tucked away as spares.",2020年2月4日 在美国审核
Eh wouldn’t buy again,One - It comes in a weird boxTwo it had more scuffs and scratches than I’d like for the price3 - I had to return it because of how over all lame it came and how it showed up/ battery was pretty warn/scratches/ and I didn’t get the awesome feeling of unboxing it..,2019年6月30日 在美国审核
Phone not working,The phone is froze up and unable to use. Very poor product*Edit* within five minutes of talking with Amazon tech support the started working just fine,2018年12月25日 在美国审核
Its not expensive when you compare with other brand and operating systems. Thks.,"Thanks , i feeling very nice satisfacción with a new cellphone. Look like brand new.",2019年5月27日 在美国审核
Did not come with EarPods and Adapter,"Phone was in perfect condition and works great but came without EarPods and the the lightning to earphone jack adapter that is pictured with “what’s in the box”.If you must replace these, the $20 open box discount is not worth it. If I did not already have Bluetooth headphones, and received Amazon Visa discount points, I would have returned.",2018年11月21日 在美国审核
May be defective one,Suddenly Wifi is not working properly and i could see phone feels hot with calls dropping abruptly . I am really not sure of what to do .,2019年7月2日 在美国审核
WISH I COULD GIVE THEM ZERO,WISH I COULD GIVE THEM ZERO! NEGATIVE EXPERIENCE,2018年12月12日 在美国审核
"I recieved the xs MAX, not the xs like advertised.","First off I’m going to say that I recieved and iPhone xs MAX, not the standard xs like it’s advertised. Not a big deal to me, but it might be to some people. Also as the other review states, it comes with a charger but not the headphones or the headphone adapter.Other than that it looks brand new and came very quickly! Overall very satisfied. Honestly though, since this is the same price as a new xs, I would probably recommend just buying a brand new one instead.",2018年12月8日 在美国审核
NOT LEGIT IPHONE. CHEAP KNOCKOFF According to Apple Store,"To my dismay, my phone started getting VERY hot for no reason, then my screen started going out. I took it to Apple and they asked me ""Where did you get this fixed?"". I was confused. They said that BOTH the SCREEN and BATTERY were NOT APPLE, and instead were cheap replacement parts, and that they wouldn't service it. I'm not out $500 that I paid for a cheap knockoff. I suspected this might be the case because the screen was... bland, and the XS is supposed to have a magnificent ""OLED"" screen.This is 3.5 months after purchase.Pros: It did come with a nice screen protector on it. It also worked with my ATT sim card.I don't know if this is an Amazon wide problem, or if it's just this seller, but I feel like I've been scammed. All I know is I paid for something and got a cheap knockoff that died. I'm actually a law student and you can bet as soon as I pass the bar, I'm filing an ""implied warranty"" suit out of principal; look it up if you've ever been told something is ""out of warranty"" but feel like it was 'supposed' to last at least that long.",2020年7月16日 在美国审核
