Not really sure why I decided to try out the Samsung Galaxy S9+ but happy that I did so far,"I am a die hard Apple person. All my desktop computers at home are Apple, my other 4 family members all have iPhones and we have laptops that are all Apple. Not really sure why I decided to try out the Samsung Galaxy S9+ but happy that I did so far. I was using a 4 1/2 year old iPhone 5s so I figured any phone would be a huge upgrade to the modern world. It still takes a little getting used to coming from the IOS system's way of doing things. I do lose the capability of iMessage and FaceTime. Not a huge deal and I can use the DUO app from Google which is the same as FaceTime. The key points with this phone are that the large and beautiful screen looks great. I like the haptic feel of the keys when texting how you feel the keys being pressed (a little buzz/vibration). I think the new iPhone X does this too but again, I'm coming from a 5s. My only two choices for a new phone were this S9+ or keep on with Apple and get an iPhone X. The X would have cost me $1150 plus an AppleCare warranty for $200. I got this Samsung (and got the Ultimate Play Bundle) for $840 plus $100 for the bundle. Took out a Square Trade 2 year warranty for $108 with only a $99 deductible should I need to use it. I have used Square Trade warranties in the past for other products and they have always replaced and stood by their guarantee. Square Trade is owned by Allstate so I have confidence in them. Getting back to the phone, the S9+ seems to work VERY fast when loading apps and pages. I use it for a lot of my wireless products at home (Nest thermostat, wireless cameras, LIFX lights, Liftmaster garage door opener) and all work fast and flawlessly. The audio when playing music sounds great. Plays very loud and clear for a phone. I like the fact that it does still have an earphone jack. I like the Android system as it comes with Google Assistant voice command. Most people hate the Bixby feature on this phone. My only real gripe with it is the large button on the left side of the phone and that when trying to adjust the phone volume I accidentally hit Bixby sometimes. I do like though that i's voice activated. I get in my car in the morning, speak to wake up Bixby and command it to open up whatever app I need (usually Waze). Once open, I speak to Waze to take me to work. All of this without having to look at my phones screen or take my eyes off the road. Also, the Bixby AI camera function is very cool too. There are about 8 or 9 different things it can do with the camera. Like, point the camera lens at a sign in a foreign language and have it live translate the sign to English or any other language on the phone (and there are plenty of them on this phone). Point it at food and it will tell you what it is and average calorie count. Point it at a wine bottle label and it will give you the information on the wine (type, year, etc...). The ONLY thing I think I will never use again and of course I tried it out is the Animoji of myself or any of my friends. It's scary weird. Everyone looks the same on this. I would personally like to see an update to the phone where they fix this to be more of a 3D type and look more realistic. I have been looking online for days at comparisons of the pictures taken on this phone compared to others. Mot notably the iPhone X. In my opinion, the X does do a lot of pix better. The contrast is usually better. The real advantage to this phone is it tends to overexpose a bit. So, dark scenes will look a bit brighter than on the iPhone X. The only thing I had to get used to is the colors on a Samsung phone are very oversaturated. Colors are very bright. There is a setting in display function that gives you 4 options of view. I turned it down to one of them and it now looks a LOT more realistic. I like the fact that this phone, as well as the iPhone X, features ability to record video at 4K 60fps. Looks great. On the Samsung though the optical stabilization doesn't work when shooting 4K 60fps. Keep a steady hand and this isn't an issue. For all other video formats, the stabilization on the Samsung works better than the X. All in all, I am happy I went with the Samsung. In a few months if I regret it, I can always keep it for a few months and sell it to get the new larger iPhone X Plus.UPDATE: 4/7/2018.The voice unlock code is terrible. And, after searching through the options on the phone I came to the conclusion I don't need it. I have the face unlock or the fingerprint reader on the back. I actually go to the back fingerprint scan to unlock more than the other methods as it's just quick and easy to use. Battery life has been good so far after using this phone for 3 weeks now. One thing I find annoying that I didn't know would be a problem is the video and picture quality when someone sends me a large video via texting. Whether I send them a video or they send me one, it becomes such low quality that it's almost hard to see it at all. This is because of the compression the carriers use to send these video's or large picture files so it doesn't take up much space. I was used to having an iPhone and using iMessage. Send any size video to someone else with an iPhone and it was in great quality on both sides of the text. Not so with Android. Now this is not just Samsung but all Android phones. So, for now, I have to send videos via WhatsApp or Viber (or a number of other text apps). They do compress but not horribly. Oh, and one more note. I hope Samsung corp is reading this review. The Samsung customer service reps have to be the stupidest people I have ever dealt with for a tech company. I used to think Comcast was bad until I called a couple of times and had to speak with someone at Samsung. They just repeat my question and tell me they understand how I feel offering absolutely no answers. They put you on hold to find out but come back with no resolve. Just terrible customer service. 180 degrees from dealing with someone at AppleCare when I had a question about my iPhone or iMac computer.2nd UPDATE: I didn'trealize this and this is VERY important to know before purchasing. In fact, I'm on the AT&amp;T network with my phone and the people in the factory store didn't know this. The sales people in Best Buy in the phone department did not know this either. When you buy an unlocked Galaxy S9 or S9+, your phone is $840. If however you want to buy it thru AT&amp;T for their network and not a factory unlocked phone, it has different options on it. Meaning, the unlocked phone WILL NOT have: WIFI calling option, HD Audio option, VVM (video voice messaging) and you will not get video voice calling. The option for these features is not even on my phone. Now, you CAN buy the AT&amp;T phone and pay $915 up front or on a plan (either way it's $75 more than the factory unlocked phone). After you pay $75 ,more and if you are paying the full price up front, you can get the AT&amp;T phone unlocked and then you will have these features. Nowhere at Best Buy or any AT&amp;T store do they tell you this. In my mind, it's a great misrepresentation that is omitted when purchasing. I picked up the bundle package here on Amazon for $100 more and got a lot of cool gadgets so I'm keeping my setup. I just want others to know there is a difference when buying the unlocked version both in price and the feature set you get. I figured the AT&amp;T version just had a bunch of their proprietary apps pre-installed. Hope this helps out someone beforehand that really wants those features. And, I went to the AT&amp;T store figuring there was a way they could flash the options to my phone. There isn't. They cannot update your phone to get these options.3rd UPDATE: April 15th, 2018I discovered a great feature today. I wish these Galaxy 9 phones had the rise to wake feature which is what the iPhone X has. You pick up the phone and just look at it to unlock via your face and it's good to go. What I discovered is setting the Google Assistant to open the Galaxy EVEN FROM the locked screen via my voice and the phone unlocks and does what you ask the Google Assistant to do. Love this feature immensely.4th UPDATE April 23, 2018As I play around more with this phone, I am learning some cool things it can do. For instance, from the factory it come pre-set so that whether you swipe up or down the phone will go to your app tray. No need for repetition with swiping either up or down. There is a setting so that when you swipe up it opens the app tray (as it come from Samsung pre-set) but change the setting and when you swipe down from any place on the phone and you've got your phones popular settings in front of you. Even better, if you swipe down using two fingers from the top of the screen, it opens the second part of the settings which control other functions (usually this is a two part deal so this makes it one step easier). Also, one thing Samsung addressed with the 9 and 9+ (using the Oreo software) is a problem people using these phones prior used to hate. Now, you can set the up/down volume buttons to control MEDIA volume no matter what you are viewing. And, if you want to control the ringtone or another type of volume, when you push up or down on the volume and the MEDIA volume shows just tap on the down arrow on the top left of the screen and you have all the others ready to adjust exactly as you like them. Apparently from reading online this has been an annoyance of a problem for a long time with the Galaxy phones that is now solved.",2018年4月1日 在美国审核
No phone in the box!,"The box I received didn't have a phone in it!!! instead, it had a cheap plastic phone case. Also, the box had no seal on it so it could have been tampered with at any point. I watched ""unboxing"" videos for this phone, and there's supposed to be a sticker seal you have to break to open the box. From other reviews, it sounds like other customers have received empty boxes or dummy phones.Customer service is processing a replacement. Hopefully that goes alright. I'll update the review when I have more info on the replacement.",2018年9月17日 在美国审核
Not new,"Repackaged with sticky cellophane that left adhesive on back of phone and camera lenses that can't be removed. Finger sensor appears dirty.And nothing was in box except phone. No papers, no chargers, no headset. Nothing.",2018年8月6日 在美国审核
It works!,"MetroPCS initially had issues getting it added to my account, but I woke up the next morning and it was working fine. So, if anyone is wondering it DOES work on MetroPCS/T-Mobile network! :) IN the USA [I'm in St. Louis, MO",2018年4月23日 在美国审核
It is Faulty,When the phone arrived excited to useit then boom it does not work! It is an UNLOCKED phone they say but it really isn't. Their Customer Service stinksand are no help. I want my money back!,2018年8月5日 在美国审核
Very dissapointed,Mine stopped working after 45 days.. was working on it and all of a sudden it ga e colors and then black screen. So disappointing,2018年7月31日 在美国审核
great phone but a few problems and some thing you ...,great phone but a few problems and some thing you need to clear up and be more clear about when i got the phone it was not sealed and when i took it to get it actived i was told it was used other then that everything seems to be in the box and works just fine but you need to let ppl know these phones have been opened,2018年5月15日 在美国审核
This phone is NOT unlocked!,Bought this phone instead of buying directly from samsung. BIG MISTAKE! Just save yourself the trouble and buy from samsung directly!,2018年8月29日 在美国审核
FAKE CLONED PHONE. DO NOT BUY,Fake cloned phone. DO NOT BUY U'LL be wasting your time and money. Buy directly from Samsung. Please double check if you have a cloned phone or not. This is very deceptive,2018年9月14日 在美国审核
"You'll fall in love with this phone every single day, get a phone case though.","This, most definitely is the best smartphone you can get today. It's so beautiful. I fall in love with it every single day. Add the wireless charger, ear buds, and watch, and you've got yourself an amazing smartphone experience.You do need to get a cover for the glass back though, because it's not as strong as it is proposed to be. Get the Alcantara case from Samsung. Also, stick with apps from the play store, and themes from Samsung , you'll have a hitch free, glitch free ride..",2018年7月3日 在美国审核
Switched from iPhone,"I switched to the s9 after I saw the price of the iPhoneX. I am not disappointed with switching to Samsung, this phone has a much better display and camera than the iPhones do. The pictures in the dark are phenomenal. It was easy to transfer all the data from my iPhone because of the easy set up features. If your thinking about switching from the iPhone, do it, you will not be disappointed.",2018年3月17日 在美国审核
Upgrading from s7,"Very nice upgrade from s7. I'm glad I went with the s9+ . I really like the big screen, and extra camera.",2018年3月26日 在美国审核
"Great phone, but CHECK THE MODEL NUMBER for region/carrier compatibility.","Pros: Overall great phone-Camera has high resolution and is ok for lower light photography due to dual apertures-Great listening experience with dual speakers for stereo sound-One of the best displays on a smartphone, OLED-Wireless charging-A headphone jack-Beautiful form factor with the display curving over the sidesCon: Possibly incompatible with cellular carrier (CHECK MODEL NUMBER)-For those NOT living in the UK, the listed model number is unlocked for the UK.The description does not explicitly list the compatible region for the listed model. I live in the US, but the model I received was SM-G960F/DS, which is an unlocked version with dual sim for the UK. This model is not compatible with Verizon, Sprint, and possibly other US cellular carriers.",2018年8月11日 在美国审核
This Phone is fake ,"The heart rate monitor not working , there is no rubber seal protecting the sim and micr sd card from water , poor display quality , poor camera , everything is just a big NO. This is the first time I have ever experience this problem with amazon , and this is making me want to stop purchasing from amazon. I love amazon , but , if this is what they're doing to their loyal customers , I will not stand for it , but , I hope this was just a mistake that was made and not a scheme.",2018年9月21日 在美国审核
Not good,Deffective and you get charged 15 per cent restocking fees and you pay for return shipping.Not worth it,2018年9月14日 在美国审核
