happy girl.,2019年1月8日 在美国审核
i was so scared to order a $600 8 plus off amazon and after reading some of the reviews it made me a lil more scared,2019年1月8日 在美国审核
100/5!,2018年9月12日 在美国审核
i always buy my phones on amazon,2018年9月12日 在美国审核
one thing to note is that you will have to buy your own headphone adapter (they're about $9 on apple's website) if you don't have airpods/wireless headphones since the headphone jack is now gone,2018年9月12日 在美国审核
Phone locked on AT&amp;T network,2018年11月30日 在美国审核
Received the phone and took it to AT&amp;T to have them swap the SIM card from my old phone to this iPhone 8+,2018年11月30日 在美国审核
Don’t but electronics here,2018年12月14日 在美国审核
This item wasn’t even a iPhone it’s a cheep android not the real iPhone ,2018年12月14日 在美国审核
Phone stopped working iphone 8 Plus,2018年10月11日 在美国审核
"Dear Sir/ Madam,Hope doing greatI purchased iphone 8 Plus in the month of Feb 2018, Now today this iphone is not working at all ,i spent 800$ on this product which is not at all worth",2018年10月11日 在美国审核
So Depressed :(,2019年4月12日 在美国审核
Scratch every where,2019年4月12日 在美国审核
It’s alright,2018年9月16日 在美国审核
I knew it wouldn’t be perfect since it’s refurbished but I just a little disappointed,2018年9月16日 在美国审核
Just as Powerful as the New IPhones but with a Home Button,2019年3月9日 在美国审核
I have had everything from an SE to an X,2019年3月9日 在美国审核
No headphones.,2018年10月6日 在美国审核
Was pretty disappointed as the phone did not come with headphones which is kind of a problem since there’s no headphone jack,2018年10月6日 在美国审核
However looked new,2018年10月6日 在美国审核
STOLEN PHONE,2019年2月4日 在美国审核
We received a STOLEN phone,2019年2月4日 在美国审核
I need to get unlocked my iPhone,2019年1月7日 在美国审核
This product wasn’t unlocked can you please unlock the phone,2019年1月7日 在美国审核
Quit working after only few months of purchase.,2019年8月6日 在美国审核
"I bought this phone in February of 2019, it is now August of 2019",2019年8月6日 在美国审核
00 at the time for this phone,2019年8月6日 在美国审核
Great ,2019年7月9日 在美国审核
I love it works perfectly I just got it today it was fully unlocked and read my sim it came with a charger and doesn’t have any scratches,2019年7月9日 在美国审核
Perfect 4.7  (**4 UPDATE IN DESCRIPTION**),2019年8月16日 在美国审核
5 lmao<br>(SC/IG; Sp3ctre,2019年8月16日 在美国审核
Nice price but battery life is a little depressing.,2019年3月22日 在美国审核
Phone came in pristine condition,2019年3月22日 在美国审核
Very surprised in the best way!,2020年4月21日 在美国审核
"I was hesitant on ordering a new unlocked phone from Amazon but I’m honestly!! I’m glad I did , it really surprised me when it came down to how clean the iphone looked (8Plus) ",2020年4月21日 在美国审核
So after that was taken care of I just took my SIM Card out of my old iphone and placed it in the SIM Card holder of the new iphone &amp; next thing I know everything worked out fine! I do recommend that you have all your passwords for your Apple ID /Apps ready along with having your iphone backed up so it will be easy to do a simple transfer I hope this helps someone who’sthinking about purchasing a phone from Amazon!,2020年4月21日 在美国审核
Better than new!!!,2018年7月21日 在美国审核
It just came in today and this may be premature but I’m so in love with this phone! It is rose gold and it was in PERFECT condition! I’m serious not one scratch or blemish and it works beautifully! It looks BRAND NEW I’m actually using it to write this review right now! It is locked to AT&amp;T but all I had to do was take the SIM card out of my old AT&amp;T iPhone and put it into this one,2018年7月21日 在美国审核
So far so good!,2019年10月13日 在美国审核
This came in earlier than expected and the phone works great! I got the gold iPhone 8 Plus AT&amp;T locked 64gb from Electro Wireless,2019年10月13日 在美国审核
Synced with my SIM card &amp; backed up using my old iPhone easily,2019年10月13日 在美国审核
A tiny scratch on the corner of screen and on the side but it’s hardly noticeable at all and that was also part of the description,2019年10月13日 在美国审核
Had a contract balance on it - useless,2019年2月12日 在美国审核
Carriers have to unlock devices for free,2019年2月12日 在美国审核
I made the mistake of paying $85 to a company to unlock it from AT&amp;T--they failed,2019年2月12日 在美国审核
"I found out AT&amp;T does it free, but when I submitted the IMEI, it came back as being a phone that the prior owner hadn't paid off",2019年2月12日 在美国审核
"It's a nicely packaged phone, very clean and all that, but it's useless",2019年2月12日 在美国审核
It's like buying a car with a lien on it,2019年2月12日 在美国审核
Way too good !!! Extremely pleased,2019年6月14日 在美国审核
"I’m amazed with my purchase, even though that some of the reviews had me a little worried",2019年6月14日 在美国审核
Bought this for my daughter to use with the straight ...,2018年4月6日 在美国审核
Bought this for my daughter to use with the straight talk bring your own phone plan,2018年4月6日 在美国审核
ONE YEAR LATER - review,2021年7月6日 在美国审核
I bought this iPhone 8Plus in 6/2020,2021年7月6日 在美国审核
This is my second renewed phone I ordered here,2021年7月6日 在美国审核
I’m planning to buy an iPhone 7 or 8 for my young daughter,2021年7月6日 在美国审核
Perfect,2022年5月1日 在美国审核
Nice phone I love it,2022年5月1日 在美国审核
I got the 8plus got great pics super clear and super happy great company I had no issues at all,2022年5月1日 在美国审核
Happy with the purchase,2022年5月10日 在美国审核
My old IPhone 8+ is 4 years old and battery started to die very fast,2022年5月10日 在美国审核
iPhone looks like new.,2019年11月23日 在美国审核
I received my iPhone 8 Plus right on time,2019年11月23日 在美国审核
"In 2022, iPhone 8 Plus is still a solid option",2022年5月5日 在美国审核
Received phone in 3 days,2022年5月5日 在美国审核
Scratches on the back especially on the bottom corner— this is the worst part of the review,2022年5月5日 在美国审核
"As a basic use smart phone- web browsing, email, watching/streaming videos, music, radio, small games—— it’s fine",2022年5月5日 在美国审核
"Review one month later—- device is still fine, battery still strong",2022年5月5日 在美国审核
iPhone didn't unlock for Spritn,2018年11月12日 在美国审核
I bought this phone knowing it was compatible with Sprint SIM cards but my cell phone office couldn't get it to unlock from the old AT&amp;T carrier so I had to send it back,2018年11月12日 在美国审核
Great looking iPhone 8 Plus,2022年4月23日 在美国审核
My iPhone 8 Plus arrived very quickly and is beautiful! It was renewed but could easily be mistaken as a new phone,2022年4月23日 在美国审核
Great buy!,2018年12月6日 在美国审核
We just received the phone but so far my daughter loves it,2018年12月6日 在美国审核
Took a risk on Amazon Certified Refurbished and SO GLAD WE DID,2020年4月18日 在美国审核
"Phones are WILDLY, INSANELY expensive and buying new was not an option for us",2020年4月18日 在美国审核
Enjoy your phone! This seller is top notch!,2020年9月9日 在美国审核
I want to give this seller a most excellent review,2020年9月9日 在美国审核
this is the top rated back model other the XR in Apples line,2020年9月9日 在美国审核
Great refurbished phone that looks new!!,2019年2月15日 在美国审核
This iPhone 8 Plus looks new,2019年2月15日 在美国审核
"Great phone, love it!",2020年1月8日 在美国审核
This was much better than expected,2020年1月8日 在美国审核
They had the least amount of bad reviews where the actual product was an issue,2020年1月8日 在美国审核
"This is my first iPhone ever, however, because of my work, I had already known how to use one",2020年1月8日 在美国审核
"Only issue I have was the battery capacity being 85% but it’s renewed, not new, so it’s expected",2020年1月8日 在美国审核
"Other than that, great phone",2020年1月8日 在美国审核
Go through VerizonPreOwned! You won’t regret it,2020年1月8日 在美国审核
Better than expected,2022年3月30日 在美国审核
Make sure you remove the screen protector when your phone arrives,2022年3月30日 在美国审核
Excellent!,2018年12月30日 在美国审核
I bought this after a bad shopping with another company,2018年12月30日 在美国审核
Already broken- Amazon was NO HELP!!,2020年8月23日 在美国审核
Zero stars! DO NOT BUY FROM AMAZON look elsewhere!Same day phone was activated I had to call amazon and tell them the phone was defective and speakers were not producing any sound,2020年8月23日 在美国审核
Zero stars!!!,2020年8月23日 在美国审核
Misrepresenting,2019年2月23日 在美国审核
It’s not the one I expected,2019年2月23日 在美国审核
Amazon 90 guarantee is garbage!!!!  Don’t buy iPhones from Amazon.,2019年11月10日 在美国审核
Amazon guarantee for 90 days is garbage,2019年11月10日 在美国审核
Decent option,2022年4月8日 在美国审核
I did get this phone as an option but did not end up keeping it,2022年4月8日 在美国审核
"Great phone, great buy, would highly recommend",2020年4月18日 在美国审核
"I typically don't write reviews, but this product and vendor deserve some of my time",2020年4月18日 在美国审核
Stolen Phone,2019年2月22日 在美国审核
I activated this phone with ATT and the next day the MEI number was blocked and the phone deactivated,2019年2月22日 在美国审核
My review of this purchase.,2020年2月18日 在美国审核
loving it baby and Thanks Amazon! ,2020年2月18日 在美国审核
She’s a great phone but...,2020年7月19日 在美国审核
"This phone is actually so good, I’ve been using it for about 7 months and I’ve been reallllly happy with it",2020年7月19日 在美国审核
Very Happy Customer,2021年5月15日 在美国审核
I upgraded a 6 plus 128gb to a 8 plus 256gb for the memory is why,2021年5月15日 在美国审核
"I read some bad reviews and good reviews but anyways this is like a new phone looks great just like new and the thing is I kept my old phone away from being messed up by using a case for it and when I put them beside each other my old phone looked wore out and the like new phone was just like it came from the Apple store so I give it two thumbs up especially for the price, heck my old phone cost me almost $1,000",2021年5月15日 在美国审核
00 so yes I’m really happy about this and far as battery life not sure but I imagine that it will last four years or so maybe more because my old phone still has a lot of life in it,2021年5月15日 在美国审核
Love that phone was just as they stated in the description,2020年9月15日 在美国审核
So I'm not really sure about the battery life on this phone,2020年9月15日 在美国审核
So my issue is the phone dies more often the others and heats up on some occasions,2020年9月15日 在美国审核
"BUT I also use my phone to run a business, so I do use it a lot, taking pictures, taking video, and a lot of texting",2020年9月15日 在美国审核
but love that this phone has kept me going,2020年9月15日 在美国审核
Mejor de lo que esperaba,2019年8月13日 在美国审核
"Es la primera vez que compro un celular restaurado por Amazon, estaba un poco escéptico pero la verdad superó mis espectativas, físicamente esta como nuevo sin un rasguo y funciona a la perfeccion",2019年8月13日 在美国审核
Excellent Product,2018年9月8日 在美国审核
"Absolutely new, just no earphones came in the box",2018年9月8日 在美国审核
Don’t get sacred to buy it. Asked questions seller is very helpful,2021年2月9日 在美国审核
So far so good,2021年2月9日 在美国审核
it look brandnew although you don’t get the original iphone charger and no headset like the description says,2021年2月9日 在美国审核
Great Buy - works on the Comcast System,2020年2月12日 在美国审核
I have now had this phone for a month and just wanted to make sure it performed as expected - it does and it exceeded expectations,2020年2月12日 在美国审核
I had been looking for an iphone8plus for a while and thought the way to go would be to grab one up after Christmas on Craigslist,2020年2月12日 在美国审核
There was not too much data out there in regards to this,2020年2月12日 在美国审核
"Short story long, I bought this phone since my wife gave me an Amazon gift card for $100 (it's either that or Home Depot) so that buffered the cost",2020年2月12日 在美国审核
With the knowledge of a 90 day warranty and confirmation from the seller it would work on Comcast (if not I could return it)I decided to take the plunge,2020年2月12日 在美国审核
"The phone arrived in short order and was well package, and the battery was charged",2020年2月12日 在美国审核
It looked for all purposes to be branded new,2020年2月12日 在美国审核
I think that may be the difference between renewed' vs reconditioned,2020年2月12日 在美国审核
Not knowing all the advantages going from a 6plus to an 8plus - the new phone told me to place next to the old phone and it downloaded the data in about 3 minutes and everything was there and worked as expected (no wires no nothing),2020年2月12日 在美国审核
I would highly recommend buying a phone from the seller,2020年2月12日 在美国审核
it’s worth it !! good price for a good product :-),2019年12月17日 在美国审核
the phone is pretty much perfect ! i’ve only had it for 6 days though so bare that in mind,2019年12月17日 在美国审核
i recommend buying from this seller and plan on getting my future phones for myself and family members here when needed and i say you should too,2019年12月17日 在美国审核
Great condition. Have been using for months with no problems!,2020年3月20日 在美国审核
This was my first time buying a fully paid off phone,2020年3月20日 在美国审核
Seriously consider this! Amazing!,2019年6月30日 在美国审核
BEST DECISION EVER to buy this,2019年6月30日 在美国审核
Working great,2018年6月26日 在美国审核
So far is working great,2018年6月26日 在美国审核
iPhone 8 Plus!!!,2019年7月31日 在美国审核
The phone came in the mail 2 days late but I don’t think that was the sellers fault - other than that I’m very happy with my purchase! You can’t beat the price,2019年7月31日 在美国审核
Best Buy love it it’s worth your money.,2020年10月21日 在美国审核
I’m going to be honest,2020年10月21日 在美国审核
Love this Iphone 8+,2020年11月1日 在美国审核
I was really surprised that it took only a couple of days to receive my Phone 8+,2020年11月1日 在美国审核
It came with a power supply and cord and looked brand new,2020年11月1日 在美国审核
I was able to charge it - update it and found all I had to do to set it up was keep it next to the old phone,2020年11月1日 在美国审核
The new phone popped up with a app asking me if I wanted to transferred all my information and apps from the old phone over to the new phone,2020年11月1日 在美国审核
To be safe I did save a backup to iCloud - then turned off Icloud and Find my phone on the old unit,2020年11月1日 在美国审核
After about 30 minutes the process completed,2020年11月1日 在美国审核
Then I moved the Sim card over to the new phone and I had service,2020年11月1日 在美国审核
All in all it was rather painless to upgrade and I did not have to wait in line at the phone store,2020年11月1日 在美国审核
