"Honestly, it was worth it",2019年6月22日 在美国审核
"I was very hesitant about buying an iPhone off of Amazon, but I did it and was not disappointed",2019年6月22日 在美国审核
No scratches and shipped fairly quickly,2019年6月22日 在美国审核
"Beautiful, lovely, practically brand new iPhone XS!",2020年2月4日 在美国审核
I absolutely love my new iPhone XS! It arrived on time and practically brand new,2020年2月4日 在美国审核
The phone itself was flawless and came with a protective film over it,2020年2月4日 在美国审核
Eh wouldn’t buy again,2019年6月30日 在美国审核
One - It comes in a weird boxTwo it had more scuffs and scratches than I’d like for the price3 - I had to return it because of how over all lame it came and how it showed up/ battery was pretty warn/scratches/ and I didn’t get the awesome feeling of unboxing it,2019年6月30日 在美国审核
Phone not working,2018年12月25日 在美国审核
The phone is froze up and unable to use,2018年12月25日 在美国审核
Its not expensive when you compare with other brand and operating systems. Thks.,2019年5月27日 在美国审核
"Thanks , i feeling very nice satisfacción with a new cellphone",2019年5月27日 在美国审核
Did not come with EarPods and Adapter,2018年11月21日 在美国审核
Phone was in perfect condition and works great but came without EarPods and the the lightning to earphone jack adapter that is pictured with “what’s in the box”,2018年11月21日 在美国审核
"If you must replace these, the $20 open box discount is not worth it",2018年11月21日 在美国审核
May be defective one,2019年7月2日 在美国审核
Suddenly Wifi is not working properly and i could see phone feels hot with calls dropping abruptly ,2019年7月2日 在美国审核
WISH I COULD GIVE THEM ZERO,2018年12月12日 在美国审核
WISH I COULD GIVE THEM ZERO! NEGATIVE EXPERIENCE,2018年12月12日 在美国审核
"I recieved the xs MAX, not the xs like advertised.",2018年12月8日 在美国审核
"First off I’m going to say that I recieved and iPhone xs MAX, not the standard xs like it’s advertised",2018年12月8日 在美国审核
Other than that it looks brand new and came very quickly! Overall very satisfied,2018年12月8日 在美国审核
NOT LEGIT IPHONE. CHEAP KNOCKOFF According to Apple Store,2020年7月16日 在美国审核
"To my dismay, my phone started getting VERY hot for no reason, then my screen started going out",2020年7月16日 在美国审核
5 months after purchase,2020年7月16日 在美国审核
"I don't know if this is an Amazon wide problem, or if it's just this seller, but I feel like I've been scammed",2020年7月16日 在美国审核
I love it so much!!!!!!,2019年7月6日 在美国审核
It's compatible with my carrier (metro by t-mobile) all I had to do was ask,2019年7月6日 在美国审核
Refurbished but near perfect condition.,2019年8月24日 在美国审核
Was nervous ordering refurbished but I cannot see any evidence it was ever touched,2019年8月24日 在美国审核
Love the iPhone XS,2021年6月7日 在美国审核
My husband has a bad habit of dropping his phone,2021年6月7日 在美国审核
My son has had androids for years,2021年6月7日 在美国审核
"First day I got my iPhone XS, we went to the water park",2021年6月7日 在美国审核
The Phone is not in EXCELLENT CONDITION,2019年12月26日 在美国审核
Mine had a cracked camera flash in the back side,2019年12月26日 在美国审核
"And you need to pay for the return, of a faulty product",2019年12月26日 在美国审核
Overall Very Happy With My Purchase from buySPRY,2020年12月24日 在美国审核
"I was skeptical about this at first, but I’m glad I bought the phone in the end",2020年12月24日 在美国审核
I love this phone,2020年12月24日 在美国审核
Battery not 100%,2020年1月28日 在美国审核
"I’m content with what I got, but I think it should be more obvious that Amazon’s definition of refurbished is not the same as Apple’s definition",2020年1月28日 在美国审核
I am content with that for an iPhone XS 256gb at the $567 price point,2020年1月28日 在美国审核
The XS is a huge upgrade from my 7 and my wife’s 8 Plus,2020年1月28日 在美国审核
Exactly What I Wanted,2020年3月7日 在美国审核
I received my iPhone a few weeks ago and wanted to wait some time to use the phone before iI posted my review,2020年3月7日 在美国审核
Premium Apple product without the premium price,2020年1月2日 在美国审核
I switched to this phone from a Samsung galaxy S8+,2020年1月2日 在美国审核
"As an iPad user, I was attracted to the continuous ecosphere Apple offered",2020年1月2日 在美国审核
"There was a mild hiccup in transfer, as all my sorted photos transferred into a single album on the iPhone",2020年1月2日 在美国审核
"The capability of this phone, despite it being one model year old, is striking (Many of its features are superior even to the current iPhone 11, including the OLED screen)",2020年1月2日 在美国审核
"The battery life has been better than expected for a renewed device, likely because it is only one model year old",2020年1月2日 在美国审核
"I have larger hands, but I prefer the 5",2020年1月2日 在美国审核
8 inch size for one-handed use,2020年1月2日 在美国审核
"If you are looking for a foray into the Apple ecosphere, this opportunity is hard to beat",2020年1月2日 在美国审核
iPhone XS flawless case. Great hardware,2019年12月20日 在美国审核
So happy with my iPhone XS Battery is at a 90% screen is flawless,2019年12月20日 在美国审核
happy Happy Happy,2019年12月20日 在美国审核
Amazing! Perfect condition!,2020年5月14日 在美国审核
Screen is amazing,2020年5月14日 在美国审核
Wasn’t sure if I was going to keep it but it took about a day to know I could never give it up,2020年5月14日 在美国审核
It came well packaged with off brand charger,2020年5月14日 在美国审核
Minor scuffs on metal and tiny scuff on bottom back glass,2020年5月14日 在美国审核
I hate that I love apple so much now,2020年5月14日 在美国审核
Great quality and price,2021年5月30日 在美国审核
Really nice quality,2021年5月30日 在美国审核
Same as new,2020年4月15日 在美国审核
This renewed iPhone XS arrived from the seller Buy SPRY in perfect condition with 93% battery health,2020年4月15日 在美国审核
I spoke to associate before purchase and asked if this is fully unlocked and if will work with Sprint(Boost Mobile) since the description and details were contradicting each other,2020年4月15日 在美国审核
"Make the story short, it took a call to network provider customer service, explain the story that this is fully unlocked phone and pleading that it should work",2020年4月15日 在美国审核
I recommend the renewed phone to any one who doesn’t want to pay ridicules price of new device and has little patience if same issue happens,2020年4月15日 在美国审核
Love it!,2021年3月20日 在美国审核
I purchased the iphone xs 256 gb in silver gray from the seller called:Verizon Pre-OwnedThe item was shipped fedex,2021年3月20日 在美国审核
The phone itself was for my daughter,2021年3月20日 在美国审核
Buying Renewed--Totally Worth It!,2020年4月5日 在美国审核
I bought this phone back in December of 2019 and intentionally waited a few months to write a review to see how the phone behaved over time,2020年4月5日 在美国审核
"Before buying the renewed iPhone XS off of Amazon, I had only bought brand new apple products from the Apple store",2020年4月5日 在美国审核
I took a leap of faith and bought this version from Amazon,2020年4月5日 在美国审核
I genuinely have 0 complaints,2020年4月5日 在美国审核
99 (comparable to Apple's old policy),2020年4月5日 在美国审核
I definitely do not regret this purchase!,2021年11月18日 在美国审核
"If you want to buy an iPhone and you don't mind being a couple generations behind, or have to purchase a 2nd hand one, I have absolutely no problems with my purchase and completely recommend this purchase",2021年11月18日 在美国审核
Battery Health was at 81%,2021年11月18日 在美国审核
I did not see any SIM removal tool in my box but that does not affect my rating,2021年11月18日 在美国审核
"Great product, great customer service",2021年12月1日 在美国审核
This is the third iPhone we have purchased from Hybrid IT,2021年12月1日 在美国审核
Worth the money,2020年3月6日 在美国审核
The battery arrived at 92% capacity,2020年3月6日 在美国审核
Highly  highly recommended Iphone XS silver.,2020年6月8日 在美国审核
Highly recommended,2020年6月8日 在美国审核
It was my first purchase of a renewed cell phone from amazon and I can only tell you it was worth it,2020年6月8日 在美国审核
I have read the most comments from seller BuySPRY and buyers to make the decision to buythis cell phone,2020年6月8日 在美国审核
The article arrived without any detail and with 92% battery life which in my opinion very good for a Renewed cell phone,2020年6月8日 在美国审核
Excellent 10/10 Conditon,2020年2月13日 在美国审核
Bought the unlocked iphone xs from BuySPRY (just included sellers name if others are less consistent),2020年2月13日 在美国审核
"the phone was in perfect condition, couldn't tell it apart from new",2020年2月13日 在美国审核
The box it came in was in some box for another chinese phone,2020年2月13日 在美国审核
Clearing Way the Unknown,2021年10月21日 在美国审核
I received my renewed iPhone XS quickly after ordering it (24 hours) and it arrived in a dinky little box,2021年10月21日 在美国审核
Much to my delight I was happy to see that the phone I purchased was in great condition,2021年10月21日 在美国审核
Great purchase from someone who was nervous about buying a $350 phone renewed,2021年10月21日 在美国审核
"Works Great, Good Value",2021年4月12日 在美国审核
Worked flawlessly after charging,2021年4月12日 在美国审核
Two thumbs up.,2020年2月11日 在美国审核
I ordered a 256GB iPhone XS on a Thursday to replace my 64GB iPhone 8,2020年2月11日 在美国审核
"Battery life was 84%, and it holds a charge",2020年2月11日 在美国审核
"I backed up my iPhone 8 through iTunes, then updated iOS on the new phone before restoring",2020年2月11日 在美国审核
Good deal at this price.,2020年2月3日 在美国审核
"Reasonable delivery time:ordered on 1/4, delivered on 1/9",2020年2月3日 在美国审核
Phone received in excellent condition,2020年2月3日 在美国审核
"No case scratches, scuffs, or dings",2020年2月3日 在美国审核
"Screen had one very small, very light swirl scuff that isn’t noticeable unless held in a certain position with the device turned off",2020年2月3日 在美国审核
When device is on and screen is displaying the scuff is not visible,2020年2月3日 在美国审核
Should also note that the scuff totally disappeared when I placed the tempered glass screen protector on the unit,2020年2月3日 在美国审核
"Most importantly, phone is fully functional",2020年2月3日 在美国审核
"Phone received with an indicated battery life of 87% maximum capacity, which I find acceptable for a “refreshed” phone",2020年2月3日 在美国审核
"Considering a “refurbished” unit from Apple’s site was considerably more than this unit’s cost, I think this phone was a good deal",2020年2月3日 在美国审核
"This phone was an upgrade for me from an iPhone 6, and after using the content transfer process to get the iPhone 6 content to the new phone, simply taking the micro-SIM chip out of the iPhone 6 and installing it in the iPhone XS completed upgrade process since I was staying with Verizon",2020年2月3日 在美国审核
This worked flawlessly and I was immediately using the new phone with the content exactly as it was on the old phone,2020年2月3日 在美国审核
Bottom line:This purchase of an Amazon Renewed iPhone worked out well for me,2020年2月3日 在美国审核
I would consider going this route again for a phone and/or other items I might need,2020年2月3日 在美国审核
Great purchase!!,2022年1月8日 在美国审核
I unboxed the phone and it looked like a brand new one,2022年1月8日 在美国审核
Great Purchase!,2022年1月29日 在美国审核
I waited just about a year to leave a review so I could fully get a feel for the quality and life of the phone,2022年1月29日 在美国审核
It came like listed.,2021年11月6日 在美国审核
The product was good,2021年11月6日 在美国审核
Impressed with my phone and the seller!,2019年9月25日 在美国审核
Impressed with the seller’s ability to match a description with the product,2019年9月25日 在美国审核
I was very skeptical since pictures were not even posted of the phone,2019年9月25日 在美国审核
I just shopped for months and went with the best seller reviews,2019年9月25日 在美国审核
No doubt I will buy from this seller again,2019年9月25日 在美国审核
Perfect budget option to start LiveStreaming,2021年6月8日 在美国审核
I chose MobileSupply to order this Renewed iPhone XS from as they had excellent reviews,2021年6月8日 在美国审核
"I was not disappointed, the phone arrived promptly, a signature was required, and it is perfect condition and fully unlocked",2021年6月8日 在美国审核
Phone came with a compatible power cord and brick,2021年6月8日 在美国审核
"Very happy, we are using this to livestream our church service, paired with an iRig Stream (running passthrough via the iRig app)",2021年6月8日 在美国审核
The 2x of the phone camera is just enough to get a nice wideshot of the stage from our soundbooth,2021年6月8日 在美国审核
"Battery health was 80%, but we don't care",2021年6月8日 在美国审核
we are using it powered via the iRig power pack (which only works for lightening port devices,2021年6月8日 在美国审核
so far i’m surprised- in a good way,2022年2月26日 在美国审核
buying an iphone off of amazon seems suspicious,2022年2月26日 在美国审核
Great phone,2021年12月21日 在美国审核
So far this iPhone XS appears to be great value,2021年12月21日 在美国审核
Really Good Customer Service,2021年4月1日 在美国审核
More thann I hoped for,2020年5月26日 在美国审核
"I had qualms about ordering this after reading a few of the negative reviews, but went ahead in consideration of the generous return policy",2020年5月26日 在美国审核
Mint condition 10 / 10,2021年8月11日 在美国审核
"This phone came out in excellent condition, not a single scratch on the screen nor the back, not even near the lightning port, physically looks brand new",2021年8月11日 在美国审核
Very nice quality for the price,2021年10月9日 在美国审核
I saw a lot of reviews that mentioned a lot of bad things involved with these phones,2021年10月9日 在美国审核
Like brand new!,2021年3月22日 在美国审核
"I was skeptical due to some of the negative reviews, but I refuse to spend over $1000 on a phone",2021年3月22日 在美国审核
"If you’re on the fence about this one, I highly recommend buying it",2021年3月22日 在美国审核
Buena compra!,2022年5月24日 在美国审核
"no es la primera vez que realizo compra de celular remanufacturado/renovado, pero a pesar de esto siempre tengo miedo de que vaya a recibir un equipo enmal estado o con problemas tecnicos, por lo que recomiendo leer de manera minusiona los comentarios y calificaciones del producto y vendedor antes de comprar",2022年5月24日 在美国审核
"Lo pude configurar sin novedad,la batería me vino al 92% vino desbloqueado tal como lo solicite así que lo pude activar con la compaía de telefónica celular de mi pais (Ecuador), la pantalla en excelente estado y físicamentesolo tenia un pequeo rayón a un costado asi que para mi hasta el momento ha sido una muy buena compra!!",2022年5月24日 在美国审核
Absolutely Flawless,2020年4月1日 在美国审核
Arrived a day early and in flawless condition,2020年4月1日 在美国审核
